champion_id,countername,winrate,champ_id
갱플랭크,가렌,51.85%,갱플랭크
갱플랭크,사이온,51.63%,갱플랭크
갱플랭크,다리우스,51.59%,갱플랭크
갱플랭크,요릭,51.47%,갱플랭크
갱플랭크,이렐리아,50.44%,갱플랭크
갱플랭크,레넥톤,50.37%,갱플랭크
갱플랭크,카밀,49.45%,갱플랭크
갱플랭크,일라오이,49.38%,갱플랭크
갱플랭크,아트록스,49.00%,갱플랭크
갱플랭크,잭스,48.75%,갱플랭크
갱플랭크,케일,48.41%,갱플랭크
갱플랭크,아크샨,48.08%,갱플랭크
갱플랭크,제이스,47.28%,갱플랭크
갱플랭크,올라프,47.06%,갱플랭크
갱플랭크,아이번,47.06%,갱플랭크
갱플랭크,럼블,46.84%,갱플랭크
갱플랭크,문도 박사,46.81%,갱플랭크
갱플랭크,클레드,46.67%,갱플랭크
갱플랭크,피오라,46.50%,갱플랭크
갱플랭크,말파이트,45.98%,갱플랭크
갱플랭크,나르,45.95%,갱플랭크
갱플랭크,뽀삐,45.31%,갱플랭크
갱플랭크,초가스,45.21%,갱플랭크
갱플랭크,그웬,45.21%,갱플랭크
갱플랭크,나서스,45.12%,갱플랭크
갱플랭크,오른,43.61%,갱플랭크
갱플랭크,케넨,43.59%,갱플랭크
갱플랭크,우르곳,41.30%,갱플랭크
갱플랭크,신지드,40.48%,갱플랭크
갱플랭크,퀸,39.47%,갱플랭크
갱플랭크,트린다미어,35.59%,갱플랭크
갱플랭크,자크,34.09%,갱플랭크
갱플랭크,탐 켄치,27.27%,갱플랭크
그라가스,탈론,60.42%,그라가스
그라가스,신 짜오,55.88%,그라가스
그라가스,니코,55.56%,그라가스
그라가스,카서스,55.00%,그라가스
그라가스,뽀삐,53.85%,그라가스
그라가스,그레이브즈,53.36%,그라가스
그라가스,비에고,53.23%,그라가스
그라가스,바이,52.46%,그라가스
그라가스,녹턴,52.38%,그라가스
그라가스,카직스,51.80%,그라가스
그라가스,사일러스,51.30%,그라가스
그라가스,세주아니,50.88%,그라가스
그라가스,리 신,49.74%,그라가스
그라가스,람머스,48.78%,그라가스
그라가스,누누와 윌럼프,48.33%,그라가스
그라가스,케인,47.83%,그라가스
그라가스,피들스틱,47.73%,그라가스
그라가스,니달리,47.47%,그라가스
그라가스,이블린,47.27%,그라가스
그라가스,오공,46.97%,그라가스
그라가스,워윅,46.88%,그라가스
그라가스,마스터 이,46.83%,그라가스
그라가스,헤카림,45.68%,그라가스
그라가스,렝가,45.61%,그라가스
그라가스,자르반 4세,45.36%,그라가스
그라가스,마오카이,45.19%,그라가스
그라가스,다이애나,45.00%,그라가스
그라가스,자크,44.19%,그라가스
그라가스,에코,43.97%,그라가스
그라가스,엘리스,43.59%,그라가스
그라가스,우디르,43.59%,그라가스
그라가스,킨드레드,43.13%,그라가스
그라가스,렉사이,42.86%,그라가스
그라가스,아이번,42.86%,그라가스
그라가스,릴리아,42.86%,그라가스
그라가스,샤코,42.17%,그라가스
그라가스,벨베스,41.46%,그라가스
그라가스,아무무,36.17%,그라가스
그레이브즈,볼리베어,61.11%,그레이브즈
그레이브즈,사일러스,57.02%,그레이브즈
그레이브즈,세주아니,55.30%,그레이브즈
그레이브즈,람머스,54.74%,그레이브즈
그레이브즈,녹턴,54.55%,그레이브즈
그레이브즈,비에고,53.55%,그레이브즈
그레이브즈,벨베스,53.55%,그레이브즈
그레이브즈,카서스,53.41%,그레이브즈
그레이브즈,트런들,53.33%,그레이브즈
그레이브즈,쉬바나,53.23%,그레이브즈
그레이브즈,누누와 윌럼프,53.04%,그레이브즈
그레이브즈,샤코,52.19%,그레이브즈
그레이브즈,바이,51.58%,그레이브즈
그레이브즈,아이번,51.53%,그레이브즈
그레이브즈,자크,51.15%,그레이브즈
그레이브즈,리 신,50.60%,그레이브즈
그레이브즈,에코,50.48%,그레이브즈
그레이브즈,아무무,50.48%,그레이브즈
그레이브즈,신 짜오,50.47%,그레이브즈
그레이브즈,뽀삐,49.63%,그레이브즈
그레이브즈,킨드레드,49.61%,그레이브즈
그레이브즈,케인,49.53%,그레이브즈
그레이브즈,럼블,49.49%,그레이브즈
그레이브즈,카직스,49.17%,그레이브즈
그레이브즈,마오카이,48.81%,그레이브즈
그레이브즈,마스터 이,48.29%,그레이브즈
그레이브즈,오공,47.98%,그레이브즈
그레이브즈,헤카림,47.66%,그레이브즈
그레이브즈,렉사이,47.60%,그레이브즈
그레이브즈,엘리스,47.25%,그레이브즈
그레이브즈,탈론,46.81%,그레이브즈
그레이브즈,그라가스,46.64%,그레이브즈
그레이브즈,이블린,46.46%,그레이브즈
그레이브즈,우디르,46.22%,그레이브즈
그레이브즈,피들스틱,45.54%,그레이브즈
그레이브즈,다이애나,45.51%,그레이브즈
그레이브즈,렝가,45.45%,그레이브즈
그레이브즈,워윅,45.35%,그레이브즈
그레이브즈,니달리,45.23%,그레이브즈
그레이브즈,자르반 4세,44.47%,그레이브즈
그레이브즈,니코,42.86%,그레이브즈
그레이브즈,릴리아,41.84%,그레이브즈
그웬,탐 켄치,66.67%,그웬
그웬,그라가스,66.07%,그웬
그웬,초가스,62.50%,그웬
그웬,모데카이저,60.49%,그웬
그웬,뽀삐,60.00%,그웬
그웬,자크,59.38%,그웬
그웬,문도 박사,58.73%,그웬
그웬,사이온,57.60%,그웬
그웬,올라프,56.25%,그웬
그웬,말파이트,56.06%,그웬
그웬,카밀,55.88%,그웬
그웬,트린다미어,55.00%,그웬
그웬,마오카이,55.00%,그웬
그웬,요릭,54.84%,그웬
그웬,갱플랭크,54.79%,그웬
그웬,요네,54.24%,그웬
그웬,이렐리아,53.73%,그웬
그웬,바루스,52.94%,그웬
그웬,쉔,51.95%,그웬
그웬,다리우스,51.72%,그웬
그웬,클레드,51.43%,그웬
그웬,피오라,51.24%,그웬
그웬,레넥톤,51.19%,그웬
그웬,오른,50.53%,그웬
그웬,크산테,50.40%,그웬
그웬,일라오이,50.00%,그웬
그웬,가렌,49.46%,그웬
그웬,아트록스,48.33%,그웬
그웬,세트,47.83%,그웬
그웬,리븐,46.67%,그웬
그웬,잭스,46.41%,그웬
그웬,우르곳,45.95%,그웬
그웬,케일,44.23%,그웬
그웬,나르,44.19%,그웬
그웬,나서스,43.97%,그웬
그웬,제이스,42.42%,그웬
그웬,야스오,42.42%,그웬
그웬,신지드,41.94%,그웬
그웬,럼블,40.00%,그웬
그웬,판테온,34.43%,그웬
나르,바루스,61.36%,나르
나르,그라가스,60.32%,나르
나르,판테온,58.82%,나르
나르,일라오이,58.00%,나르
나르,세트,57.41%,나르
나르,사일러스,56.41%,나르
나르,우르곳,56.25%,나르
나르,말파이트,55.88%,나르
나르,그웬,55.81%,나르
나르,올라프,54.55%,나르
나르,제이스,54.08%,나르
나르,갱플랭크,54.05%,나르
나르,쉔,53.85%,나르
나르,잭스,52.34%,나르
나르,요네,51.11%,나르
나르,오른,50.54%,나르
나르,크산테,50.33%,나르
나르,피오라,50.00%,나르
나르,레넥톤,48.53%,나르
나르,나서스,48.53%,나르
나르,아트록스,47.00%,나르
나르,모데카이저,46.81%,나르
나르,럼블,46.67%,나르
나르,케일,46.03%,나르
나르,다리우스,44.14%,나르
나르,가렌,44.05%,나르
나르,리븐,43.75%,나르
나르,이렐리아,43.18%,나르
나르,사이온,42.31%,나르
나르,문도 박사,41.67%,나르
나르,티모,40.63%,나르
나르,카밀,40.54%,나르
나미,아무무,56.99%,나미
나미,레나타 글라스크,56.90%,나미
나미,스웨인,56.00%,나미
나미,판테온,55.77%,나미
나미,피들스틱,53.13%,나미
나미,세라핀,52.59%,나미
나미,유미,51.31%,나미
나미,룰루,50.99%,나미
나미,세나,50.34%,나미
나미,파이크,50.19%,나미
나미,타릭,50.00%,나미
나미,모르가나,49.41%,나미
나미,럭스,49.24%,나미
나미,브라움,47.83%,나미
나미,밀리오,47.73%,나미
나미,바드,47.62%,나미
나미,카르마,47.23%,나미
나미,잔나,47.21%,나미
나미,마오카이,47.06%,나미
나미,애쉬,46.62%,나미
나미,블리츠크랭크,46.13%,나미
나미,하이머딩거,45.83%,나미
나미,제라스,45.69%,나미
나미,소나,45.58%,나미
나미,니코,45.45%,나미
나미,애니,45.24%,나미
나미,질리언,45.19%,나미
나미,쓰레쉬,44.50%,나미
나미,샤코,44.26%,나미
나미,자이라,44.21%,나미
나미,렐,43.37%,나미
나미,소라카,43.23%,나미
나미,라칸,42.82%,나미
나미,노틸러스,42.69%,나미
나미,자크,41.94%,나미
나미,알리스타,41.51%,나미
나미,레오나,41.14%,나미
나미,브랜드,39.13%,나미
나미,벨코즈,36.84%,나미
나서스,아칼리,62.86%,나서스
나서스,문도 박사,62.71%,나서스
나서스,케일,61.96%,나서스
나서스,베인,60.53%,나서스
나서스,케넨,58.62%,나서스
나서스,워윅,58.54%,나서스
나서스,이렐리아,57.55%,나서스
나서스,초가스,57.14%,나서스
나서스,야스오,57.14%,나서스
나서스,요릭,56.52%,나서스
나서스,그웬,56.03%,나서스
나서스,아크샨,55.88%,나서스
나서스,갱플랭크,54.88%,나서스
나서스,요네,54.13%,나서스
나서스,볼리베어,53.97%,나서스
나서스,제이스,53.68%,나서스
나서스,럼블,53.45%,나서스
나서스,자크,53.33%,나서스
나서스,레넥톤,53.29%,나서스
나서스,마오카이,53.23%,나서스
나서스,판테온,52.44%,나서스
나서스,피오라,52.33%,나서스
나서스,나르,51.47%,나서스
나서스,쉔,51.46%,나서스
나서스,렝가,51.35%,나서스
나서스,다리우스,51.32%,나서스
나서스,모데카이저,50.35%,나서스
나서스,크산테,50.28%,나서스
나서스,리븐,50.00%,나서스
나서스,바루스,50.00%,나서스
나서스,라이즈,50.00%,나서스
나서스,티모,49.41%,나서스
나서스,말파이트,48.53%,나서스
나서스,탐 켄치,48.39%,나서스
나서스,그라가스,48.24%,나서스
나서스,퀸,48.21%,나서스
나서스,블라디미르,47.83%,나서스
나서스,아이번,47.37%,나서스
나서스,오른,47.09%,나서스
나서스,트린다미어,46.77%,나서스
나서스,사이온,46.67%,나서스
나서스,가렌,46.22%,나서스
나서스,잭스,46.08%,나서스
나서스,카밀,45.24%,나서스
나서스,클레드,44.74%,나서스
나서스,세트,43.86%,나서스
나서스,신지드,42.86%,나서스
나서스,뽀삐,42.65%,나서스
나서스,아트록스,41.99%,나서스
나서스,우르곳,41.67%,나서스
나서스,올라프,40.63%,나서스
나서스,카시오페아,40.00%,나서스
나서스,일라오이,37.09%,나서스
나서스,사일러스,27.50%,나서스
노틸러스,유미,61.60%,노틸러스
노틸러스,애쉬,61.18%,노틸러스
노틸러스,룰루,60.49%,노틸러스
노틸러스,브랜드,59.00%,노틸러스
노틸러스,카르마,57.96%,노틸러스
노틸러스,나미,57.31%,노틸러스
노틸러스,판테온,56.96%,노틸러스
노틸러스,레나타 글라스크,56.15%,노틸러스
노틸러스,벨코즈,55.84%,노틸러스
노틸러스,질리언,55.12%,노틸러스
노틸러스,밀리오,54.80%,노틸러스
노틸러스,마오카이,54.17%,노틸러스
노틸러스,럭스,53.99%,노틸러스
노틸러스,자이라,53.41%,노틸러스
노틸러스,파이크,52.26%,노틸러스
노틸러스,스웨인,52.07%,노틸러스
노틸러스,제라스,51.66%,노틸러스
노틸러스,잔나,51.37%,노틸러스
노틸러스,브라움,51.17%,노틸러스
노틸러스,아무무,51.02%,노틸러스
노틸러스,니코,50.96%,노틸러스
노틸러스,소나,50.70%,노틸러스
노틸러스,모르가나,50.68%,노틸러스
노틸러스,쓰레쉬,50.47%,노틸러스
노틸러스,바드,50.34%,노틸러스
노틸러스,피들스틱,49.06%,노틸러스
노틸러스,세나,49.01%,노틸러스
노틸러스,알리스타,48.94%,노틸러스
노틸러스,하이머딩거,48.94%,노틸러스
노틸러스,라칸,48.53%,노틸러스
노틸러스,세라핀,47.62%,노틸러스
노틸러스,레오나,47.38%,노틸러스
노틸러스,애니,46.97%,노틸러스
노틸러스,샤코,46.34%,노틸러스
노틸러스,블리츠크랭크,45.79%,노틸러스
노틸러스,타릭,45.19%,노틸러스
노틸러스,아이번,44.74%,노틸러스
노틸러스,소라카,41.90%,노틸러스
노틸러스,렐,40.29%,노틸러스
노틸러스,트위치,37.78%,노틸러스
노틸러스,자크,35.71%,노틸러스
녹턴,엘리스,62.26%,녹턴
녹턴,다이애나,62.07%,녹턴
녹턴,오공,61.67%,녹턴
녹턴,벨베스,60.32%,녹턴
녹턴,카직스,57.38%,녹턴
녹턴,우디르,56.82%,녹턴
녹턴,뽀삐,56.25%,녹턴
녹턴,니달리,55.47%,녹턴
녹턴,리 신,54.98%,녹턴
녹턴,세주아니,53.45%,녹턴
녹턴,아이번,53.38%,녹턴
녹턴,비에고,52.38%,녹턴
녹턴,마오카이,52.17%,녹턴
녹턴,렝가,51.85%,녹턴
녹턴,헤카림,51.43%,녹턴
녹턴,워윅,51.28%,녹턴
녹턴,샤코,50.47%,녹턴
녹턴,바이,50.00%,녹턴
녹턴,카서스,50.00%,녹턴
녹턴,럼블,50.00%,녹턴
녹턴,자르반 4세,48.86%,녹턴
녹턴,케인,48.67%,녹턴
녹턴,이블린,48.57%,녹턴
녹턴,그라가스,47.62%,녹턴
녹턴,킨드레드,46.93%,녹턴
녹턴,피들스틱,46.75%,녹턴
녹턴,마스터 이,46.72%,녹턴
녹턴,그레이브즈,45.45%,녹턴
녹턴,사일러스,44.16%,녹턴
녹턴,신 짜오,43.59%,녹턴
녹턴,자크,43.42%,녹턴
녹턴,람머스,43.40%,녹턴
녹턴,에코,43.36%,녹턴
녹턴,탈론,42.50%,녹턴
녹턴,릴리아,41.18%,녹턴
녹턴,아무무,39.58%,녹턴
녹턴,렉사이,38.30%,녹턴
녹턴,누누와 윌럼프,31.91%,녹턴
누누와 윌럼프,녹턴,68.09%,누누와 윌럼프
누누와 윌럼프,리 신,62.50%,누누와 윌럼프
누누와 윌럼프,엘리스,61.70%,누누와 윌럼프
누누와 윌럼프,바이,59.15%,누누와 윌럼프
누누와 윌럼프,니달리,57.14%,누누와 윌럼프
누누와 윌럼프,자크,56.82%,누누와 윌럼프
누누와 윌럼프,이블린,56.06%,누누와 윌럼프
누누와 윌럼프,비에고,55.64%,누누와 윌럼프
누누와 윌럼프,우디르,55.26%,누누와 윌럼프
누누와 윌럼프,카서스,54.55%,누누와 윌럼프
누누와 윌럼프,자르반 4세,51.97%,누누와 윌럼프
누누와 윌럼프,그라가스,51.67%,누누와 윌럼프
누누와 윌럼프,카직스,51.52%,누누와 윌럼프
누누와 윌럼프,마오카이,50.70%,누누와 윌럼프
누누와 윌럼프,헤카림,50.00%,누누와 윌럼프
누누와 윌럼프,사일러스,50.00%,누누와 윌럼프
누누와 윌럼프,아무무,50.00%,누누와 윌럼프
누누와 윌럼프,아이번,48.84%,누누와 윌럼프
누누와 윌럼프,렉사이,48.76%,누누와 윌럼프
누누와 윌럼프,릴리아,47.83%,누누와 윌럼프
누누와 윌럼프,오공,47.62%,누누와 윌럼프
누누와 윌럼프,그레이브즈,46.96%,누누와 윌럼프
누누와 윌럼프,에코,46.91%,누누와 윌럼프
누누와 윌럼프,탈론,46.88%,누누와 윌럼프
누누와 윌럼프,킨드레드,46.79%,누누와 윌럼프
누누와 윌럼프,케인,46.39%,누누와 윌럼프
누누와 윌럼프,렝가,45.36%,누누와 윌럼프
누누와 윌럼프,샤코,44.19%,누누와 윌럼프
누누와 윌럼프,세주아니,43.59%,누누와 윌럼프
누누와 윌럼프,벨베스,43.14%,누누와 윌럼프
누누와 윌럼프,마스터 이,42.86%,누누와 윌럼프
누누와 윌럼프,다이애나,42.22%,누누와 윌럼프
누누와 윌럼프,뽀삐,38.89%,누누와 윌럼프
누누와 윌럼프,피들스틱,36.67%,누누와 윌럼프
니달리,람머스,65.71%,니달리
니달리,럼블,62.90%,니달리
니달리,비에고,60.28%,니달리
니달리,탈론,58.49%,니달리
니달리,니코,56.82%,니달리
니달리,아이번,56.39%,니달리
니달리,오공,55.42%,니달리
니달리,신 짜오,55.07%,니달리
니달리,그레이브즈,54.77%,니달리
니달리,엘리스,54.55%,니달리
니달리,렝가,54.17%,니달리
니달리,다이애나,54.17%,니달리
니달리,킨드레드,53.98%,니달리
니달리,우디르,53.85%,니달리
니달리,카서스,53.66%,니달리
니달리,리 신,53.07%,니달리
니달리,그라가스,52.53%,니달리
니달리,카직스,52.42%,니달리
니달리,샤코,51.77%,니달리
니달리,세주아니,51.22%,니달리
니달리,피들스틱,51.19%,니달리
니달리,자르반 4세,50.20%,니달리
니달리,자크,49.38%,니달리
니달리,마스터 이,49.28%,니달리
니달리,헤카림,49.15%,니달리
니달리,에코,49.02%,니달리
니달리,벨베스,48.00%,니달리
니달리,바이,47.73%,니달리
니달리,사일러스,47.47%,니달리
니달리,릴리아,47.06%,니달리
니달리,뽀삐,46.15%,니달리
니달리,마오카이,45.56%,니달리
니달리,녹턴,44.53%,니달리
니달리,누누와 윌럼프,42.86%,니달리
니달리,렉사이,42.64%,니달리
니달리,케인,41.83%,니달리
니달리,아무무,41.67%,니달리
니달리,이블린,38.62%,니달리
니달리,워윅,36.96%,니달리
니코,이즈리얼,70.27%,니코
니코,말자하,63.38%,니코
니코,오리아나,63.33%,니코
니코,아우렐리온 솔,62.03%,니코
니코,아크샨,59.42%,니코
니코,트위스티드 페이트,59.02%,니코
니코,애니비아,58.00%,니코
니코,판테온,58.00%,니코
니코,피즈,56.70%,니코
니코,럼블,56.25%,니코
니코,에코,55.70%,니코
니코,애니,55.65%,니코
니코,카타리나,55.63%,니코
니코,블라디미르,55.56%,니코
니코,라이즈,54.88%,니코
니코,르블랑,54.87%,니코
니코,빅토르,53.47%,니코
니코,벡스,53.45%,니코
니코,탈론,53.33%,니코
니코,야스오,53.23%,니코
니코,아칼리,53.01%,니코
니코,신드라,52.45%,니코
니코,요네,52.38%,니코
니코,키아나,52.38%,니코
니코,카사딘,52.27%,니코
니코,리산드라,51.85%,니코
니코,아리,51.52%,니코
니코,직스,51.52%,니코
니코,사일러스,51.33%,니코
니코,아지르,51.32%,니코
니코,갈리오,51.11%,니코
니코,제드,50.28%,니코
니코,이렐리아,49.47%,니코
니코,베이가,48.75%,니코
니코,탈리야,48.57%,니코
니코,제라스,46.51%,니코
니코,제이스,45.65%,니코
니코,조이,45.59%,니코
니코,카시오페아,44.26%,니코
니코,럭스,32.26%,니코
닐라,제리,69.09%,닐라
닐라,트위치,61.86%,닐라
닐라,징크스,61.22%,닐라
닐라,아펠리오스,59.48%,닐라
닐라,시비르,58.93%,닐라
닐라,케이틀린,57.30%,닐라
닐라,진,54.72%,닐라
닐라,카이사,50.74%,닐라
닐라,미스 포츈,49.54%,닐라
닐라,트리스타나,48.48%,닐라
닐라,베인,48.33%,닐라
닐라,드레이븐,47.93%,닐라
닐라,바루스,47.83%,닐라
닐라,자야,47.58%,닐라
닐라,사미라,47.37%,닐라
닐라,이즈리얼,47.20%,닐라
닐라,루시안,45.16%,닐라
닐라,애쉬,44.60%,닐라
닐라,코그모,41.51%,닐라
다리우스,초가스,63.89%,다리우스
다리우스,신지드,61.36%,다리우스
다리우스,마오카이,60.53%,다리우스
다리우스,쉔,58.97%,다리우스
다리우스,사이온,58.85%,다리우스
다리우스,럼블,56.82%,다리우스
다리우스,피오라,56.40%,다리우스
다리우스,세트,55.93%,다리우스
다리우스,나르,55.86%,다리우스
다리우스,클레드,55.71%,다리우스
다리우스,아트록스,55.68%,다리우스
다리우스,레넥톤,55.68%,다리우스
다리우스,제드,54.05%,다리우스
다리우스,뽀삐,53.57%,다리우스
다리우스,잭스,53.42%,다리우스
다리우스,블라디미르,52.78%,다리우스
다리우스,렉사이,52.78%,다리우스
다리우스,자크,52.50%,다리우스
다리우스,크산테,52.38%,다리우스
다리우스,티모,52.08%,다리우스
다리우스,그라가스,52.04%,다리우스
다리우스,가렌,51.66%,다리우스
다리우스,사일러스,51.61%,다리우스
다리우스,일라오이,51.19%,다리우스
다리우스,아칼리,50.88%,다리우스
다리우스,제이스,50.54%,다리우스
다리우스,요릭,50.00%,다리우스
다리우스,야스오,50.00%,다리우스
다리우스,바루스,49.58%,다리우스
다리우스,말파이트,49.32%,다리우스
다리우스,케일,49.12%,다리우스
다리우스,아크샨,48.98%,다리우스
다리우스,나서스,48.68%,다리우스
다리우스,갱플랭크,48.41%,다리우스
다리우스,카밀,48.39%,다리우스
다리우스,그웬,48.28%,다리우스
다리우스,이렐리아,48.09%,다리우스
다리우스,탐 켄치,47.73%,다리우스
다리우스,트린다미어,47.62%,다리우스
다리우스,요네,46.72%,다리우스
다리우스,볼리베어,46.67%,다리우스
다리우스,판테온,46.22%,다리우스
다리우스,문도 박사,46.15%,다리우스
다리우스,우르곳,45.59%,다리우스
다리우스,케넨,45.45%,다리우스
다리우스,워윅,44.44%,다리우스
다리우스,아이번,44.23%,다리우스
다리우스,리븐,43.11%,다리우스
다리우스,모데카이저,43.10%,다리우스
다리우스,오른,43.06%,다리우스
다리우스,오공,42.86%,다리우스
다리우스,올라프,42.42%,다리우스
다리우스,베인,42.22%,다리우스
다리우스,퀸,41.54%,다리우스
다리우스,트런들,38.89%,다리우스
다리우스,렝가,37.21%,다리우스
다이애나,사일러스,61.29%,다이애나
다이애나,누누와 윌럼프,57.78%,다이애나
다이애나,세주아니,56.10%,다이애나
다이애나,그라가스,55.00%,다이애나
다이애나,그레이브즈,54.49%,다이애나
다이애나,리 신,53.17%,다이애나
다이애나,샤코,52.54%,다이애나
다이애나,케인,50.52%,다이애나
다이애나,피들스틱,50.00%,다이애나
다이애나,신 짜오,50.00%,다이애나
다이애나,마오카이,49.23%,다이애나
다이애나,바이,48.15%,다이애나
다이애나,아이번,47.76%,다이애나
다이애나,킨드레드,46.85%,다이애나
다이애나,카직스,46.84%,다이애나
다이애나,니달리,45.83%,다이애나
다이애나,릴리아,45.16%,다이애나
다이애나,에코,44.68%,다이애나
다이애나,카서스,43.59%,다이애나
다이애나,비에고,42.73%,다이애나
다이애나,마스터 이,42.68%,다이애나
다이애나,헤카림,42.45%,다이애나
다이애나,오공,42.00%,다이애나
다이애나,렝가,40.91%,다이애나
다이애나,이블린,40.00%,다이애나
다이애나,벨베스,38.30%,다이애나
다이애나,녹턴,37.93%,다이애나
다이애나,자크,37.21%,다이애나
다이애나,람머스,36.11%,다이애나
다이애나,자르반 4세,35.25%,다이애나
다이애나,아무무,34.38%,다이애나
다이애나,엘리스,34.15%,다이애나
다이애나,렉사이,33.94%,다이애나
드레이븐,트리스타나,67.39%,드레이븐
드레이븐,시비르,56.55%,드레이븐
드레이븐,징크스,54.78%,드레이븐
드레이븐,자야,54.29%,드레이븐
드레이븐,트위치,54.13%,드레이븐
드레이븐,루시안,54.06%,드레이븐
드레이븐,아펠리오스,54.01%,드레이븐
드레이븐,코그모,53.94%,드레이븐
드레이븐,제리,53.78%,드레이븐
드레이븐,애쉬,53.27%,드레이븐
드레이븐,바루스,53.13%,드레이븐
드레이븐,닐라,52.07%,드레이븐
드레이븐,사미라,51.19%,드레이븐
드레이븐,베인,50.75%,드레이븐
드레이븐,케이틀린,50.00%,드레이븐
드레이븐,카이사,49.41%,드레이븐
드레이븐,이즈리얼,48.13%,드레이븐
드레이븐,진,47.75%,드레이븐
드레이븐,미스 포츈,46.84%,드레이븐
드레이븐,카서스,46.15%,드레이븐
드레이븐,칼리스타,45.76%,드레이븐
드레이븐,세라핀,45.76%,드레이븐
드레이븐,야스오,35.42%,드레이븐
라이즈,키아나,60.71%,라이즈
라이즈,이즈리얼,59.09%,라이즈
라이즈,럭스,56.92%,라이즈
라이즈,애니,56.64%,라이즈
라이즈,르블랑,56.38%,라이즈
라이즈,조이,55.77%,라이즈
라이즈,카사딘,54.72%,라이즈
라이즈,아우렐리온 솔,53.57%,라이즈
라이즈,제이스,52.27%,라이즈
라이즈,야스오,52.26%,라이즈
라이즈,리산드라,52.24%,라이즈
라이즈,아지르,50.82%,라이즈
라이즈,탈론,50.72%,라이즈
라이즈,트위스티드 페이트,50.00%,라이즈
라이즈,럼블,50.00%,라이즈
라이즈,신드라,49.63%,라이즈
라이즈,카타리나,49.57%,라이즈
라이즈,사일러스,49.06%,라이즈
라이즈,아칼리,48.91%,라이즈
라이즈,아크샨,48.72%,라이즈
라이즈,제드,47.06%,라이즈
라이즈,오리아나,47.06%,라이즈
라이즈,판테온,46.34%,라이즈
라이즈,블라디미르,45.78%,라이즈
라이즈,피즈,45.56%,라이즈
라이즈,아리,45.19%,라이즈
라이즈,니코,45.12%,라이즈
